Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
Nearest Neighbors,0:00:00.277999,80717,3.4441195782796685e-06,0.7135795433427903,0.6075322101090188,0.658553856819279,0.424490180835204,0.5780998660356421,0.461744488465458,0.5727643483843113,0.42584057127745195,2.176740959153586e-05,2.1853320118929634e-05
Decision Tree,0:00:02.769615,80717,3.4312660282220595e-05,1.0,0.9224479682854311,1.0,0.9087126047351748,1.0,0.9116724288019362,1.0,0.9101684722936381,2.353407584523706e-07,2.972745292368682e-07
Random Forest,0:00:33.889875,80717,0.0004198604383215432,1.0,0.8903369672943509,1.0,0.8885317455687163,1.0,0.8513345634216906,1.0,0.866487690540112,2.1718250182737216e-05,2.2002378592666007e-05
Neural Net,0:00:09.543959,80717,0.00011823976361856857,0.6931996977092806,0.6871159563924678,0.7086632546308642,0.7435439900867411,0.5003522749345326,0.5002805387545377,0.41022092895328033,0.4078834309511232,4.7078062861602884e-07,4.956392467789891e-07
