Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
Nearest Neighbors,0:00:00.260000,80716,3.2211705238118837e-06,0.714195450716091,0.6735543332837818,0.6612091421881029,0.4861077387500717,0.574685460343173,0.49832980779863295,0.5671533272102753,0.4240361430625985,2.0454420437088062e-05,2.1356771220454886e-05
Decision Tree,0:00:02.479009,80716,3.071273353486298e-05,1.0,0.5403101927555621,1.0,0.5379805309003265,1.0,0.5439866084287923,1.0,0.5228731455720667,1.4865701967391841e-07,1.486546751895347e-07
Random Forest,0:00:28.107046,80716,0.00034822149264086426,1.0,0.503096972399782,1.0,0.5167713870929569,1.0,0.5193217389998539,1.0,0.49195220428527847,1.316966896278309e-05,8.869679401417174e-06
Neural Net,0:00:03.364001,80716,4.167700332028346e-05,0.3078695673720204,0.3150488082850206,0.6264968719514175,0.37622582444830155,0.5009570617768686,0.4995456906566846,0.2369717634342297,0.23994038576377713,4.4600822637395306e-07,4.459640255686041e-07
